"I *walk to* the station.";"Eu *fui a pé* até a estação.";"Walk pode significar andar ou ir a pé."
"*Although* taking, sharing and viewing photographs...";"*Apesar de* tirar, compartilhar, visualizar fotos...",
"Photography has been used *throughout* its nearly 180 year history.";"A fotografia foi usada *ao longo* de seus quase 180 anos de história.",
"I'm *working from home*.";"Estou *fazendo home office*.";"Não existe home office no sentido que o Brasil utiliza."
"Suddenly I *heard* a noise. Someone was in the garden.";"De repente eu *ouvi* um barulho. Alguém estava no jardim.";"Hear é ouvir no sentido de forma natural. Listen é ouvir no sentido de escolhermos algo para ouvir."
"Did you *hear* the thunder last night?";"Você *ouviu* o trovão ontem à noite?";"Hear é ouvir no sentido de forma natural. Listen é ouvir no sentido de escolhermos algo para ouvir."
"The line is very bad. I can’t *hear* you.";"A linha está muito ruim. Eu não consigo *ouvir* você.";"Hear é ouvir no sentido de forma natural. Listen é ouvir no sentido de escolhermos algo para ouvir."
"Do you listen to the radio in bed?";"Você escuta o rádio na cama?";"Hear é ouvir no sentido de forma natural. Listen é ouvir no sentido de escolhermos algo para ouvir. Quando temos um objeto depois de _listen_ precisamos da preposição _to_."
"I *listened* very carefully *to* what she said and wrote it all down.";"Eu *escutei* muito cuidadosamente o que ela disse e anotei tudo.";"Hear é ouvir no sentido de forma natural. Listen é ouvir no sentido de escolhermos algo para ouvir. Quando temos um objeto depois de _listen_ precisamos da preposição _to_."
"How long have you been here?";"A quanto tempo você está aqui?",
"How do you like it here?";"O que vocês está achando daqui?",
"Have you been anywhere else?";"Já foi a outros lugares?",
"How did you like it?";"Gostou de lá?",
"Make sure you go to Brazil.";"Não deixe de ir ao Brasil",
"くるま！";"Carro!
くるま = carro";"affirmative"
